FLIGHT_COUNT,SUM_YR_1,LAST_TO_END
16,12600.0,9
128,50066.0,17
124,40842.0,2
111,59392.0,4
77,42580.0,1
42,31875.0,22
124,41832.0,1
19,70286.0,6
53,105558.0,45
61,34988.0,1
48,70248.0,4
26,19055.0,22
43,51220.0,31
87,48404.0,61
114,41316.0,1
54,19260.0,20
68,60323.0,20
112,59906.0,6
73,37975.0,13
49,31965.0,38
40,45368.0,2
82,36622.0,5
154,45721.0,1
58,24167.0,13
52,49712.0,2
43,34940.0,8
105,47407.0,4
97,44371.0,4
17,44362.0,112
32,40430.0,59
37,27428.0,5
86,39027.0,5
62,41195.0,13
67,31267.0,11
84,66828.0,8
117,41699.0,8
122,14624.0,2
87,50996.0,24
73,47665.0,2
97,28621.0,8
93,37117.0,5
83,47411.0,8
105,44102.0,11
27,19156.0,56
24,26478.0,31
137,42196.0,2
57,31607.0,22
50,51665.0,7
45,52963.0,8
109,39912.0,1
46,39174.0,18
77,33898.0,17
60,37442.0,5
66,33386.0,6
77,40464.0,4
77,51690.0,16
28,29878.0,13
62,35596.0,9
53,34624.0,34
37,42810.0,4
94,60023.0,65
48,31580.0,10
52,51894.0,5
52,49124.0,1
72,37631.0,9
47,54943.0,13
107,76142.0,9
96,17453.0,23
168,55550.0,2
49,71197.0,17
36,67896.0,13
21,22610.0,77
60,63520.0,24
84,46317.0,33
59,24776.0,7
118,42743.0,1
49,58598.0,27
74,11024.0,4
64,40954.0,7
47,47345.0,19
46,43725.0,1
115,36691.0,7
28,18150.0,13
12,59690.0,351
65,64866.0,8
24,32740.0,66
50,22503.0,4
98,40583.0,5
46,20760.0,1
61,31319.0,17
28,50685.0,84
28,39630.0,68
17,19284.0,15
51,28324.0,1
85,48193.0,16
23,12331.0,14
78,46383.0,2
67,38025.0,1
96,40235.0,1
118,49601.0,20
86,32724.0,48
36,40288.0,5
10,38895.0,83
34,29850.0,1
23,27033.0,2
76,36172.0,5
45,6302.0,19
111,44278.0,18
47,45533.0,25
84,45822.0,1
134,47816.0,1
46,32482.0,3
96,43721.0,6
16,57864.0,94
83,38488.0,11
93,62419.0,3
13,11050.0,6
36,43700.0,2
73,48667.0,11
98,30393.0,1
116,49489.0,3
85,47213.0,13
48,11065.0,10
104,41424.0,6
57,42496.0,12
43,20604.0,9
101,64593.0,12
69,38429.0,2
71,55597.0,5
124,52690.0,5
86,14588.0,18
82,41732.0,12
122,45210.0,1
18,25000.0,20
39,61892.0,22
83,44818.0,4
81,31897.0,1
66,47485.0,34
46,64995.0,41
75,44483.0,3
69,66407.0,79
45,37275.0,10
36,44208.0,4
106,40519.0,1
64,3840.0,19
61,61888.0,6
67,25108.0,1
52,41758.0,30
21,18656.0,13
100,4050.0,9
119,47749.0,1
79,47495.0,20
101,45096.0,4
116,34456.0,5
42,55704.0,85
82,51975.0,3
96,46039.0,11
79,23729.0,11
133,30769.0,4
73,45322.0,15
58,35194.0,1
19,24160.0,135
62,3024.0,1
46,45100.0,5
38,43810.0,16
65,36873.0,23
15,1050.0,13
93,33784.0,2
60,24710.0,4
93,35033.0,2
83,27475.0,15
44,42529.0,16
62,27429.0,8
89,32263.0,2
78,44716.0,2
39,25395.0,26
101,31698.0,14
44,35410.0,17
31,26510.0,32
75,45356.0,7
93,30886.0,18
54,36915.0,20
73,74927.0,18
70,37523.0,2
36,22754.0,14
45,24251.0,5
97,49273.0,14
107,33048.0,10
123,24010.0,8
38,27591.0,29
98,25931.0,13
33,37095.0,7
39,47110.0,6
72,25797.0,8
83,44591.0,6
66,45777.0,4
46,30859.0,37
99,29079.0,5
54,52455.0,4
65,35300.0,16
27,57027.0,243
36,37775.0,21
61,36095.0,20
49,28693.0,32
103,50490.0,6
52,50939.0,73
36,7924.0,9
37,33765.0,12
100,39900.0,14
51,53069.0,7
69,33817.0,12
82,47476.0,8
65,24631.0,25
118,46759.0,2
75,35356.0,11
56,31523.0,1
73,33056.0,6
66,63457.0,17
21,17960.0,6
78,40527.0,4
90,43733.0,2
80,31743.0,8
20,21750.0,85
80,44686.0,31
95,69840.0,34
99,30567.0,2
90,25377.0,17
33,46160.0,1
73,56546.0,12
127,45789.0,18
83,71675.0,158
27,127812.0,8
97,33392.0,1
13,20184.0,41
139,38932.0,1
86,43248.0,6
82,42963.0,2
41,20890.0,31
72,52687.0,2
82,46161.0,11
83,27915.0,4
92,43780.0,14
49,52850.0,25
74,43299.0,10
78,45116.0,4
49,30447.0,9
44,25290.0,29
26,36675.0,13
85,45311.0,2
49,33945.0,5
69,33234.0,5
53,14142.0,8
11,13870.0,67
55,37547.0,10
18,18272.0,34
63,25409.0,22
23,34000.0,181
55,35707.0,13
36,48148.0,24
43,61296.0,8
59,80392.0,2
69,31880.0,4
77,32248.0,27
75,33200.0,21
89,38199.0,14
51,39570.0,1
15,29925.0,65
51,38772.0,10
63,43871.0,13
67,38719.0,3
35,12985.0,58
31,33815.0,3
63,33214.0,4
95,15506.0,1
97,22150.0,13
67,42645.0,9
101,42660.0,2
60,28919.0,21
12,16850.0,38
52,37062.0,3
92,41178.0,2
47,23116.0,6
109,3355.0,46
82,40816.0,12
68,41576.0,21
79,28932.0,16
74,47441.0,11
31,41870.0,113
34,75096.0,8
74,40695.0,3
7,9800.0,7
36,36079.0,93
43,11215.0,9
106,51475.0,36
89,26172.0,3
62,36045.0,104
51,45955.0,12
69,13894.0,5
84,40360.0,1
68,35569.0,5
20,19750.0,3
27,41202.0,89
64,55829.0,2
113,40666.0,7
40,29655.0,2
80,31314.0,2
53,51760.0,41
109,25453.0,1
70,50055.0,4
35,53857.0,9
34,31705.0,29
88,46105.0,27
101,40010.0,10
44,38109.0,15
57,29445.0,1
43,26822.0,11
57,24922.0,4
82,46167.0,11
69,71304.0,23
63,40053.0,44
12,85067.0,230
69,21560.0,17
88,30763.0,4
59,42397.0,3
40,23893.0,10
13,20720.0,86
68,34093.0,11
69,21848.0,3
38,16013.0,4
97,47544.0,18
13,32690.0,34
84,21990.0,3
33,26685.0,79
61,22830.0,25
87,35020.0,17
62,2229.0,3
79,35447.0,2
58,41075.0,85
26,28218.0,48
82,3334.0,2
94,27388.0,7
43,13556.0,15
49,41465.0,9
32,29738.0,11
82,34150.0,4
62,42770.0,22
67,50851.0,18
81,28048.0,30
86,51499.0,7
6,16750.0,102
9,18400.0,69
63,41586.0,4
38,28934.0,66
40,18569.0,2
73,31217.0,9
71,32479.0,15
74,28862.0,1
45,46091.0,103
127,22212.0,1
86,37992.0,4
58,34540.0,29
69,21534.0,3
38,40955.0,43
78,24327.0,19
16,23860.0,68
37,65247.0,163
76,28898.0,5
44,48524.0,2
99,33623.0,3
51,42668.0,14
66,11395.0,5
77,36496.0,5
106,32751.0,2
94,26238.0,1
89,35406.0,27
11,18820.0,37
19,3394.0,17
65,15151.0,18
25,33750.0,76
51,28665.0,26
54,25515.0,19
13,14988.0,46
93,38788.0,2
31,37875.0,27
78,35230.0,4
96,15079.0,4
58,40313.0,20
85,43516.0,8
65,23639.0,5
85,37633.0,4
14,36249.0,88
60,41825.0,2
39,37287.0,8
36,56206.0,61
17,28290.0,46
104,45487.0,21
50,24941.0,15
41,45416.0,12
20,52692.0,195
68,27135.0,7
99,42394.0,2
98,37379.0,12
89,42752.0,8
35,18047.0,71
78,41670.0,6
75,30101.0,4
56,49573.0,15
29,28559.0,2
55,38741.0,45
26,2288.0,18
66,29705.0,5
67,32549.0,5
65,31494.0,17
76,33598.0,9
38,30988.0,4
51,54418.0,17
71,13402.0,3
67,46263.0,9
61,57025.0,25
44,17040.0,3
120,41174.0,1
101,33465.0,1
34,36154.0,8
70,29689.0,9
31,43415.0,35
44,42516.0,62
43,8975.0,27
62,32441.0,34
35,27939.0,26
51,40754.0,4
55,13932.0,23
34,30418.0,69
58,25139.0,2
83,43283.0,3
39,20394.0,3
65,16847.0,18
44,33301.0,10
64,27337.0,1
50,36304.0,67
27,26670.0,83
40,28069.0,9
72,39764.0,2
47,53538.0,41
70,23294.0,1
51,49769.0,113
52,49222.0,1
57,28480.0,2
56,19440.0,2
32,33575.0,13
65,14128.0,1
16,13446.0,30
44,22793.0,101
96,20961.0,11
37,18236.0,75
63,8678.0,10
81,30766.0,21
82,36457.0,13
38,33770.0,2
25,22154.0,38
50,65460.0,70
66,21192.0,6
75,32496.0,2
70,24538.0,12
93,27280.0,3
97,33434.0,2
72,36277.0,20
65,40598.0,5
45,48206.0,60
27,28125.0,10
81,26051.0,2
74,29571.0,8
81,21055.0,2
43,22023.0,63
68,38275.0,2
51,54626.0,3
65,39745.0,36
61,28249.0,12
34,25395.0,3
106,49592.0,1
68,40859.0,10
69,43483.0,5
31,11790.0,9
85,40655.0,4
85,32596.0,9
44,22141.0,21
82,35160.0,2
35,47684.0,288
64,41568.0,23
9,11350.0,143
44,29037.0,105
86,55971.0,3
45,28231.0,7
78,27240.0,30
59,40075.0,14
98,15931.0,1
87,35706.0,12
25,21212.0,39
48,22504.0,23
53,25627.0,13
61,33145.0,12
54,41659.0,2
68,33304.0,2
80,25602.0,5
70,21210.0,2
61,21875.0,2
59,39494.0,9
71,26233.0,3
43,35816.0,33
65,30530.0,12
118,27356.0,1
31,37810.0,27
13,10350.0,34
105,31593.0,11
54,68548.0,108
39,31120.0,4
67,12244.0,2
43,18733.0,24
78,16700.0,3
77,39214.0,1
67,30349.0,25
34,30375.0,1
40,28251.0,82
47,30546.0,34
49,20340.0,14
39,27041.0,3
47,50972.0,8
72,23572.0,4
30,45410.0,113
21,40645.0,123
62,27261.0,1
31,13108.0,3
85,26038.0,5
18,88051.0,376
41,20640.0,22
88,35416.0,10
43,31232.0,4
53,584.0,2
56,46584.0,20
80,32900.0,32
42,40943.0,24
79,26642.0,1
30,31621.0,96
30,42766.0,12
38,33417.0,23
49,18745.0,25
122,33816.0,1
60,33110.0,7
86,36478.0,2
6,31500.0,235
59,31825.0,24
68,31232.0,3
62,38522.0,1
38,32100.0,72
104,31489.0,6
45,20608.0,21
59,40853.0,1
57,49256.0,11
58,45030.0,36
78,33255.0,11
38,1815.0,11
91,42645.0,24
82,22922.0,1
34,45857.0,109
54,34212.0,3
51,9644.0,38
62,47626.0,4
101,31932.0,11
98,35266.0,3
67,35100.0,2
58,17036.0,1
45,18130.0,10
45,19431.0,1
38,24557.0,31
53,38577.0,5
39,21387.0,56
51,25608.0,9
11,35451.0,9
31,26250.0,60
51,40497.0,7
67,32686.0,7
65,46360.0,75
22,0.0,14
64,21124.0,1
70,33777.0,15
73,25059.0,14
55,26327.0,25
59,50656.0,30
63,29082.0,6
113,37856.0,6
72,36137.0,3
122,37578.0,4
79,33171.0,3
78,36204.0,19
78,27721.0,2
75,58908.0,42
72,26461.0,1
45,68181.0,180
47,33836.0,107
61,21482.0,2
10,14950.0,88
32,31015.0,14
57,28339.0,1
58,45484.0,85
34,25446.0,20
45,19922.0,28
66,43173.0,15
52,10800.0,11
103,37018.0,4
61,39768.0,61
32,3615.0,2
92,23592.0,3
58,35665.0,6
80,31925.0,1
46,49364.0,8
85,31528.0,14
15,16730.0,53
55,33617.0,26
70,16461.0,9
84,34268.0,4
85,33276.0,5
51,25440.0,8
66,36460.0,5
13,51527.0,30
85,32275.0,6
83,34654.0,11
89,35636.0,6
85,35688.0,4
53,25902.0,20
92,18452.0,1
54,22785.0,15
78,38602.0,6
45,25366.0,5
57,21050.0,21
44,39572.0,18
78,26891.0,1
91,39087.0,13
56,21376.0,4
44,27097.0,4
72,58788.0,7
49,41339.0,287
37,33245.0,1
88,17559.0,4
84,19534.0,9
60,18820.0,4
9,13820.0,3
11,13915.0,151
33,20075.0,10
72,32574.0,46
38,41651.0,29
27,40290.0,130
35,36068.0,8
84,33332.0,5
27,49895.0,31
55,35279.0,87
25,23225.0,2
24,21253.0,76
48,64582.0,404
65,29744.0,7
67,16680.0,5
37,25598.0,44
68,48755.0,5
75,17543.0,15
78,35244.0,10
29,49206.0,18
61,21021.0,4
110,29292.0,1
26,29565.0,67
62,38440.0,7
61,34538.0,29
62,21766.0,9
28,36780.0,9
67,23427.0,7
79,20926.0,18
26,25871.0,4
60,29164.0,20
47,22004.0,25
47,25172.0,22
47,27321.0,6
52,37545.0,5
12,12900.0,19
47,34608.0,12
64,27378.0,14
11,7801.0,86
49,13359.0,8
43,37734.0,7
59,10656.0,8
89,18961.0,3
50,55322.0,39
60,20912.0,2
50,19563.0,12
60,8986.0,4
67,26911.0,6
40,12825.0,5
46,8145.0,2
82,46538.0,4
56,25109.0,34
9,21270.0,27
28,51255.0,148
65,21135.0,30
39,17539.0,14
63,20128.0,5
17,21295.0,72
8,0.0,27
84,27376.0,3
37,17416.0,18
80,43965.0,29
45,32796.0,3
93,50736.0,14
44,29052.0,21
69,25992.0,2
82,40181.0,20
78,5955.0,1
69,33257.0,3
84,34538.0,19
64,31536.0,1
87,16349.0,2
36,27283.0,9
58,25368.0,31
45,8850.0,4
78,38718.0,3
51,32727.0,58
81,30810.0,6
67,37883.0,1
83,38058.0,12
38,20820.0,48
47,25869.0,4
75,35012.0,74
50,21930.0,7
43,22558.0,5
103,19114.0,2
53,24212.0,16
59,31380.0,13
40,53981.0,220
92,25595.0,5
23,20212.0,85
74,43560.0,18
31,29050.0,117
66,24171.0,5
114,42345.0,1
8,12800.0,44
74,29282.0,7
74,27992.0,12
45,39155.0,48
19,65486.0,38
51,48224.0,22
9,38949.0,87
53,12480.0,11
63,27007.0,10
27,23892.0,32
39,17207.0,9
82,36213.0,2
52,26175.0,40
60,34371.0,4
15,13943.0,21
64,42170.0,119
128,31916.0,4
21,5465.0,17
49,42870.0,81
68,9284.0,6
52,32631.0,14
66,28734.0,2
43,21514.0,25
79,23971.0,18
88,25264.0,7
62,25299.0,7
76,27046.0,4
61,24765.0,9
63,36155.0,69
99,27589.0,13
59,15696.0,6
35,17759.0,3
93,36774.0,25
55,27428.0,6
50,23743.0,24
83,24999.0,16
54,24968.0,4
67,25036.0,28
44,35009.0,92
71,24196.0,1
8,11400.0,77
67,22833.0,8
66,24575.0,14
37,31360.0,5
45,12163.0,2
88,27995.0,2
74,31522.0,7
55,40567.0,97
63,15872.0,2
96,28033.0,1
63,32166.0,9
66,24582.0,4
65,27416.0,25
9,9600.0,175
24,32523.0,28
38,30945.0,18
75,17889.0,11
42,35785.0,3
48,28650.0,18
84,33665.0,3
48,18229.0,9
38,13600.0,1
41,24108.0,14
59,24025.0,20
50,37051.0,15
98,38360.0,7
70,13340.0,9
53,39164.0,15
23,13560.0,112
60,25790.0,4
34,25526.0,36
46,21186.0,16
66,28859.0,3
64,15239.0,22
58,30870.0,6
97,39599.0,12
50,8918.0,61
73,31646.0,4
63,29631.0,2
55,19666.0,2
83,27617.0,13
37,40476.0,5
54,23784.0,11
56,37120.0,94
54,25423.0,5
77,29274.0,5
17,18198.0,263
61,30574.0,3
24,34709.0,27
25,12145.0,68
75,23059.0,2
62,30169.0,3
8,13700.0,6
47,22100.0,27
77,21805.0,5
93,28290.0,16
45,27449.0,2
84,31237.0,16
42,29692.0,6
31,21825.0,4
62,26566.0,1
27,30269.0,3
65,13999.0,2
60,22528.0,3
33,59191.0,21
31,51496.0,437
54,21901.0,18
42,17912.0,5
69,48909.0,6
62,24570.0,7
57,32509.0,16
68,22608.0,5
128,25715.0,1
76,22876.0,7
67,26640.0,6
56,33773.0,14
63,34059.0,52
56,17980.0,9
76,23166.0,1
31,43271.0,22
70,29717.0,6
40,40225.0,66
86,33106.0,7
8,14040.0,30
38,13349.0,2
75,34866.0,10
28,35308.0,32
58,20556.0,3
56,19035.0,6
66,30667.0,7
60,17659.0,3
108,41293.0,3
10,13385.0,28
21,25914.0,50
17,28727.0,31
71,15973.0,4
83,17438.0,1
42,21380.0,60
62,24103.0,25
32,11894.0,23
59,28611.0,2
45,16446.0,6
62,29407.0,2
61,41536.0,51
60,14863.0,2
25,12465.0,107
103,33627.0,1
64,33208.0,34
66,25837.0,8
53,24258.0,17
71,29482.0,144
43,22750.0,6
71,31211.0,10
48,8090.0,9
60,33156.0,9
34,26218.0,2
49,25413.0,3
43,15585.0,2
57,32886.0,35
81,23842.0,4
66,37732.0,17
33,21897.0,9
55,28964.0,20
10,13645.0,107
10,8350.0,67
34,28371.0,30
39,23119.0,7
50,16069.0,10
60,21624.0,3
116,39223.0,2
32,52535.0,217
74,25571.0,1
13,12948.0,6
50,19354.0,14
71,35593.0,16
51,36884.0,49
63,20049.0,12
40,22271.0,63
34,41518.0,2
45,17480.0,11
11,13125.0,39
39,25370.0,2
101,28834.0,1
10,9900.0,71
45,24018.0,2
46,31409.0,35
82,31947.0,3
61,24478.0,15
30,25112.0,6
97,27931.0,1
88,32138.0,4
18,16610.0,19
43,19014.0,65
81,24636.0,1
25,16614.0,28
13,9908.0,6
71,22363.0,42
91,26186.0,9
76,12178.0,1
48,13021.0,11
9,10600.0,6
59,20098.0,3
28,31453.0,57
26,0.0,23
18,17463.0,289
23,33613.0,57
89,31199.0,15
43,30030.0,1
7,25947.0,224
25,25645.0,68
59,21891.0,14
53,34827.0,5
56,32771.0,12
35,34572.0,90
51,34871.0,12
51,42313.0,5
5,37500.0,255
39,7095.0,13
15,17437.0,65
63,23976.0,11
52,29476.0,5
73,29305.0,4
26,10342.0,4
57,17908.0,11
77,30869.0,2
71,23006.0,6
95,26384.0,2
40,27680.0,5
73,24097.0,5
43,28742.0,131
25,51507.0,8
63,29403.0,47
49,8730.0,4
46,15572.0,22
59,32051.0,2
9,13250.0,38
81,21879.0,2
7,3520.0,87
75,17815.0,2
107,34797.0,4
73,29480.0,1
65,26935.0,4
76,13720.0,3
64,14254.0,32
34,18699.0,24
67,14317.0,32
39,30676.0,57
28,18575.0,44
71,23727.0,24
12,11447.0,28
54,4848.0,6
50,25872.0,13
63,23622.0,18
47,17307.0,16
52,21846.0,7
30,3525.0,4
50,11572.0,26
67,36962.0,7
51,37659.0,33
75,29797.0,70
61,22668.0,10
6,0.0,123
72,28107.0,5
77,27775.0,14
19,14823.0,74
46,19798.0,4
49,23628.0,1
93,37925.0,5
29,17296.0,45
49,22772.0,15
62,24122.0,11
36,21339.0,8
78,23944.0,13
20,11365.0,90
36,43717.0,33
11,9600.0,41
54,5073.0,8
33,36480.0,28
35,27636.0,31
44,56320.0,104
48,21815.0,5
9,30491.0,345
49,14414.0,1
55,32727.0,9
19,15048.0,5
5,12600.0,86
82,23195.0,1
40,21517.0,22
81,22436.0,4
61,33440.0,3
54,24678.0,5
7,9300.0,100
40,29326.0,31
62,21995.0,12
48,44900.0,17
52,31464.0,18
42,40305.0,2
42,26977.0,20
69,31294.0,11
26,47272.0,130
71,10002.0,2
58,26146.0,15
13,25630.0,230
42,20532.0,5
37,8194.0,23
82,32591.0,10
75,35870.0,9
31,3685.0,144
49,35553.0,6
41,24522.0,39
70,9330.0,11
70,30992.0,21
59,40351.0,10
41,19905.0,2
80,37517.0,2
44,13600.0,26
34,38260.0,77
35,37155.0,27
60,30537.0,9
54,22019.0,11
46,10002.0,6
51,28262.0,37
65,31302.0,10
60,29611.0,35
49,35837.0,78
53,19841.0,20
62,13007.0,3
47,6277.0,214
37,42030.0,66
49,36511.0,33
40,5165.0,16
47,28679.0,7
51,11903.0,1
63,28696.0,2
58,22305.0,5
57,19475.0,3
79,28717.0,25
64,26584.0,5
42,22896.0,24
71,14288.0,7
34,28251.0,21
58,28310.0,6
75,33918.0,12
35,19068.0,1
28,30703.0,1
49,19196.0,3
10,12971.0,2
58,30920.0,32
34,16480.0,17
32,15435.0,10
14,12450.0,57
87,21648.0,11
54,32077.0,12
20,16163.0,67
30,30681.0,120
36,38901.0,26
46,31355.0,8
53,50837.0,220
15,13300.0,8
95,28461.0,6
52,25586.0,49
64,28739.0,6
38,18907.0,5
51,59627.0,461
48,29218.0,8
65,14042.0,16
55,32319.0,5
58,24185.0,7
31,18477.0,15
78,19124.0,10
54,23937.0,3
58,17790.0,12
37,22932.0,18
43,26750.0,3
57,26311.0,3
62,0.0,2
59,25569.0,23
10,16820.0,88
36,0.0,22
58,1377.0,32
45,25337.0,5
81,22675.0,8
60,28456.0,11
62,36915.0,3
26,22195.0,24
28,17315.0,19
56,11401.0,7
75,15823.0,11
7,17550.0,86
74,28865.0,62
45,7611.0,7
47,21398.0,11
53,30632.0,4
67,24795.0,2
77,28173.0,5
68,22864.0,1
57,33306.0,15
40,16974.0,4
45,16880.0,40
62,9366.0,16
57,33599.0,13
57,17602.0,34
77,38960.0,10
28,7947.0,2
40,28790.0,12
7,23309.0,356
61,31047.0,5
50,20964.0,7
41,26420.0,3
28,38077.0,53
41,16647.0,1
57,20383.0,1
40,26250.0,6
50,27990.0,102
11,27068.0,121
11,7346.0,34
45,40071.0,10
32,25699.0,50
55,23098.0,12
62,25329.0,37
38,18998.0,36
33,27722.0,34
44,21771.0,5
75,9112.0,12
80,48261.0,5
31,19323.0,14
55,21838.0,22
54,24827.0,9
15,9349.0,188
69,35414.0,6
18,14968.0,41
10,11350.0,53
62,34585.0,6
48,22700.0,4
9,16950.0,69
63,36952.0,41
11,41330.0,417
61,22895.0,21
55,20919.0,21
29,27384.0,3
46,16006.0,4
21,19414.0,8
61,14431.0,6
30,11928.0,46
43,32999.0,58
7,8150.0,193
81,22516.0,4
31,24230.0,42
56,31872.0,16
44,23304.0,20
30,2175.0,5
65,22361.0,2
59,27053.0,18
35,43766.0,103
60,26533.0,15
47,26095.0,201
81,21068.0,3
62,33874.0,4
45,28824.0,4
42,31874.0,46
42,23000.0,62
7,36334.0,199
49,31767.0,25
64,21623.0,2
29,14945.0,7
27,19915.0,8
33,14774.0,26
60,28581.0,17
71,31226.0,5
45,14941.0,3
40,25343.0,14
48,19402.0,11
68,27683.0,13
91,11092.0,1
55,22009.0,4
61,21719.0,33
31,19086.0,68
85,22211.0,2
76,35329.0,22
65,21131.0,4
68,18497.0,2
109,32214.0,19
90,22887.0,15
41,25543.0,9
67,45261.0,146
57,40540.0,25
7,13850.0,266
32,30168.0,9
47,20817.0,62
67,15800.0,2
16,9385.0,11
51,0.0,22
17,4800.0,31
82,27013.0,41
39,27656.0,18
41,49157.0,23
24,7885.0,10
37,30340.0,5
27,24513.0,16
64,25809.0,18
29,29605.0,6
34,22062.0,9
46,30939.0,68
38,39870.0,16
43,25285.0,20
52,1978.0,6
57,26471.0,18
47,24521.0,16
21,27979.0,26
47,25582.0,14
45,28957.0,15
35,22773.0,1
80,23617.0,6
18,15495.0,18
20,25526.0,38
56,30878.0,30
49,25108.0,4
6,19400.0,77
54,21873.0,2
21,27082.0,40
49,0.0,4
68,18645.0,2
70,10698.0,13
36,30873.0,20
25,0.0,11
64,22273.0,13
51,28204.0,1
53,14187.0,26
37,21757.0,1
33,24240.0,38
22,31320.0,6
41,22664.0,30
66,33738.0,5
90,17631.0,1
63,27965.0,5
35,14859.0,23
35,18706.0,3
17,19431.0,70
41,32769.0,68
64,24453.0,6
54,17986.0,8
50,22833.0,7
47,7950.0,12
12,5750.0,121
55,20672.0,1
26,35235.0,59
14,2050.0,12
21,31040.0,50
76,24720.0,1
29,26948.0,5
32,27277.0,23
54,14222.0,43
32,22997.0,12
72,24693.0,3
37,17909.0,44
31,21771.0,4
55,15118.0,25
40,19533.0,11
34,16955.0,57
5,0.0,77
18,13927.0,132
60,31383.0,11
81,23541.0,1
63,15633.0,19
53,3662.0,5
50,7559.0,4
32,14205.0,12
59,17784.0,3
38,23171.0,2
